brand,model,model_year,milage,fuel_type,engine,transmission,ext_col,int_col,accident,clean_title,price,id
RAM,ProMaster 2500 High Roof,2018,"10,339 mi.",Gasoline,280.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,White,Gray,None reported,Yes,36990.0,100013
Chevrolet,Corvette Z06 w/2LZ,2023,202 mi.,Gasoline,670.0HP 5.5L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,Red,None reported,Yes,179000.0,100014
Honda,Pilot Black Edition,2022,"22,564 mi.",Gasoline,3.5 Liter,Automatic,Platinum White Pearl,Black,None reported,,44998.0,100015
Chevrolet,Corvette Grand Sport,2019,"13,100 mi.",Gasoline,460.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,7-Speed M/T,Silver,Red,None reported,Yes,61950.0,100016
Cadillac,Escalade Platinum Edition,2012,"160,249 mi.",E85 Flex Fuel,403.0HP 6.2L 8 Cylinder Engine Flex Fuel Capability,A/T,Black,Black,None reported,Yes,12900.0,100017
Lexus,IS 250 Base,2011,"107,818 mi.",Gasoline,204.0HP 2.5L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Gray,Beige,At least 1 accident or damage reported,Yes,11400.0,100018
BMW,530 i,2017,"37,000 mi.",Gasoline,248.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,Gray,Black,None reported,Yes,31000.0,100019
BMW,335 i,2008,"98,000 mi.",Gasoline,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Brown,None reported,Yes,13998.0,100020
Lincoln,Corsair Standard,2022,"4,520 mi.",Gasoline,250.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,Beige,Beige,None reported,Yes,38500.0,100021
Lexus,GX 460 Luxury,2021,"17,710 mi.",Gasoline,301.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,A/T,White,Red,None reported,Yes,59000.0,100022
Ford,E350 Super Duty Base,2006,"158,000 mi.",Gasoline,305.0HP 6.8L 10 Cylinder Engine Gasoline Fuel,A/T,White,Gray,At least 1 accident or damage reported,Yes,8500.0,100023
Tesla,Model X 75D,2016,"52,000 mi.",,518.0HP Electric Motor Electric Fuel System,A/T,Black,Beige,None reported,Yes,52000.0,100024
Cadillac,Escalade Platinum,2018,"49,273 mi.",Gasoline,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,A/T,Red,Black,None reported,Yes,54000.0,100025
Toyota,Highlander Hybrid Limited Platinum,2017,"34,049 mi.",Hybrid,3.5L V6 24V PDI DOHC Hybrid,Automatic CVT,Shoreline Blue Pearl,Ash,None reported,,37999.0,100026
Toyota,Venza XLE,2013,"103,466 mi.",Gasoline,268.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,White,Gray,At least 1 accident or damage reported,Yes,14200.0,100027
Honda,CR-V EX,2003,"224,000 mi.",Gasoline,160.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,M/T,Black,Gray,None reported,Yes,3900.0,100028
Buick,Encore GX Essence,2022,"18,185 mi.",Gasoline,1.3L I3 12V GDI DOHC Turbo,Automatic CVT,Summit White,Whisper Beige,None reported,,31755.0,100029
Volvo,XC90 3.2,2011,"88,300 mi.",Gasoline,235.0HP 3.2L Straight 6 Cylinder Engine Gasoline Fuel,A/T,Blue,Beige,At least 1 accident or damage reported,Yes,11500.0,100030
BMW,M4 Base,2016,"62,500 mi.",Gasoline,425.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,7-Speed A/T,Black,Orange,At least 1 accident or damage reported,Yes,40500.0,100031
BMW,i8 Base,2015,"51,000 mi.",Plug-In Hybrid,357.0HP 1.5L 3 Cylinder Engine Plug-In Electric/Gas,Transmission w/Dual Shift Mode,Gray,Brown,None reported,Yes,53000.0,100032
Chevrolet,Camaro Base,2001,"64,776 mi.",Gasoline,200.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Gray,None reported,Yes,7500.0,100033
Lexus,RX 350 RX 350 F SPORT Handling,2022,"14,330 mi.",Gasoline,3.5 Liter DOHC,Automatic,Black,Red,None reported,,54998.0,100034
MINI,Hardtop Cooper,2019,"19,850 mi.",Gasoline,134.0HP 1.5L 3 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,Black,None reported,Yes,24000.0,100035
Jeep,Wrangler Unlimited Sahara,2019,"59,692 mi.",Gasoline,285.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Gray,Black,None reported,Yes,35900.0,100036
Ford,Explorer XLT,2022,"20,678 mi.",Gasoline,300.0HP 2.3L 4 Cylinder Engine Gasoline Fuel,A/T,Red,Black,None reported,Yes,46000.0,100037
Chevrolet,Camaro 2SS,2010,"8,949 mi.",Gasoline,426.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,M/T,Yellow,Black,None reported,Yes,30000.0,100038
Chevrolet,Corvette Base,2004,"37,622 mi.",Gasoline,350.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,A/T,Blue,Beige,None reported,Yes,25500.0,100039
Jeep,Gladiator Rubicon,2020,"38,000 mi.",Gasoline,285.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,None reported,Yes,45000.0,100040
Porsche,911 Carrera 4S,2014,"36,670 mi.",Gasoline,400.0HP 3.8L Flat 6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,Black,None reported,Yes,82499.0,100041
Alfa,Romeo Giulia Ti,2019,"21,400 mi.",Gasoline,280.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,Black,None reported,Yes,28500.0,100042
Ford,Bronco Base,2022,"6,200 mi.",Gasoline,275.0HP 2.3L 4 Cylinder Engine Gasoline Fuel,7-Speed M/T,Black,Black,None reported,Yes,49000.0,100043
Land,Rover Range Rover 3.0L Supercharged HSE,2018,"73,101 mi.",Gasoline,380.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,A/T,Blue,Beige,None reported,Yes,42950.0,100044
Cadillac,Escalade Premium Luxury,2022,"19,250 mi.",Gasoline,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,10-Speed A/T,Black,Black,None reported,Yes,86999.0,100045
Land,Rover Defender SE,2023,"8,421 mi.",Hybrid,395.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,A/T,Black,White,None reported,Yes,90000.0,100046
Bentley,Continental GT Base,2009,"43,000 mi.",Gasoline,552.0HP 6.0L 12 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,Yes,48500.0,100047
Audi,Q5 2.0T Premium Plus,2019,"24,500 mi.",Gasoline,248.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,Black,–,None reported,Yes,31000.0,100048
BMW,M8 Base,2020,"25,520 mi.",Gasoline,4.4L V8 32V GDI DOHC Twin Turbo,8-Speed Automatic,Brands Hatch Gray Metallic,Black,None reported,,84900.0,100049
Lincoln,Navigator L Reserve,2019,"49,131 mi.",Gasoline,3.5L V6 24V PDI DOHC Twin Turbo,10-Speed Automatic,Tan,–,,,55460.0,100050
Audi,A5 45 S line Premium Plus,2022,"24,500 mi.",Hybrid,261.0HP 2.0L 4 Cylinder Engine Gasoline/Mild Electric Hybrid,Transmission w/Dual Shift Mode,White,Black,None reported,Yes,47000.0,100051
Cadillac,Escalade Premium Luxury,2023,600 mi.,Gasoline,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,Yes,103000.0,100052
BMW,M3 Base,2016,"55,250 mi.",Gasoline,425.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,6-Speed M/T,Blue,White,None reported,Yes,49999.0,100053
Toyota,4Runner SR5,2022,"28,377 mi.",Gasoline,4.0L V6 24V MPFI DOHC,5-Speed Automatic,Silver,Gray,None reported,,36999.0,100054
Mercedes-Benz,SL-Class SL 63 AMG,2011,"47,400 mi.",Gasoline,518.0HP 6.3L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,White,Black,At least 1 accident or damage reported,Yes,41000.0,100055
Volkswagen,Golf GTI 2.0T SE 4-Door,2019,"33,000 mi.",Gasoline,228.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,Black,Black,None reported,Yes,27500.0,100056
Toyota,Tacoma TRD Sport,2020,"41,199 mi.",Gasoline,3.5 Liter,6 Speed Mt,Black,Black/Gun Metal,None reported,,41598.0,100057
Chevrolet,Suburban 1500 LTZ,2015,"159,000 mi.",Gasoline,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,White,Beige,At least 1 accident or damage reported,Yes,26900.0,100058
Rivian,R1S Adventure Package,2023,"2,108 mi.",,835.0HP Electric Motor Electric Fuel System,1-Speed A/T,Silver,White,None reported,Yes,91000.0,100059
BMW,M3 Base,2012,"7,982 mi.",Gasoline,414.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,Silver,Red,,,51900.0,100060
INFINITI,G35 Base,2006,"94,000 mi.",Gasoline,280.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,Gray,At least 1 accident or damage reported,Yes,10995.0,100061
Subaru,WRX STI Base,2017,"37,800 mi.",Gasoline,305.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,Blue,Black,None reported,Yes,32500.0,100062
BMW,M3 Base,2015,"65,800 mi.",Gasoline,425.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,Red,None reported,Yes,44950.0,100063
Ford,Flex SEL,2011,"149,000 mi.",Gasoline,262.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,Beige,None reported,Yes,7999.0,100064
Dodge,Ram 1500 Quad Cab,2002,"179,000 mi.",Gasoline,245.0HP 5.9L 8 Cylinder Engine Gasoline Fuel,A/T,Black,Black,At least 1 accident or damage reported,Yes,6500.0,100065
BMW,428 i xDrive SULEV,2016,"77,000 mi.",Gasoline,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,Red,At least 1 accident or damage reported,Yes,26999.0,100066
BMW,X1 xDrive28i,2019,"52,253 mi.",Gasoline,228.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,Black,None reported,Yes,34500.0,100067
Dodge,Ram 1500 SRT-10 Quad Cab,2005,"138,450 mi.",Gasoline,500.0HP 8.3L 10 Cylinder Engine Gasoline Fuel,4-Speed A/T,Red,Black,At least 1 accident or damage reported,Yes,19000.0,100068
Ford,Explorer Limited,2020,"82,146 mi.",Gasoline,2.3L I4 16V GDI DOHC Turbo,10-Speed Automatic,Gray,Ebony,None reported,Yes,30825.0,100069
Buick,Enclave Premium,2016,"134,655 mi.",Gasoline,3.6L V6 24V GDI DOHC,6-Speed Automatic,Ebony Twilight Metallic,Ebony,None reported,Yes,18051.0,100070
Toyota,4Runner TRD Pro,2021,"35,048 mi.",Gasoline,4.0L V6 24V MPFI DOHC,5-Speed Automatic,Lunar Rock,Black / Graphite,None reported,,52590.0,100071
Acura,MDX 3.7L Advance,2013,"20,750 mi.",Gasoline,300.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,Black,None reported,Yes,33000.0,100072
Ferrari,488 GTB Base,2018,"17,761 mi.",Gasoline,3.9L V8 32V GDI DOHC Twin Turbo,7-Speed Automatic with Auto-Shift,Rosso Corsa,Nero,None reported,,243900.0,100073
BMW,335 i,2010,"91,545 mi.",Gasoline,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,Black,None reported,Yes,13000.0,100074
BMW,ALPINA B7 ALPINA B7 xDrive,2020,"65,852 mi.",Gasoline,4.4 Liter Twin Turbo,Automatic,Black,Mocha,None reported,,68998.0,100075
Audi,A7 3.0T Prestige,2013,"87,066 mi.",Gasoline,310.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Silver,Black,None reported,Yes,20999.0,100076
Subaru,Ascent Touring 7-Passenger,2021,"39,948 mi.",Gasoline,2.4L H4 16V GDI DOHC Turbo,Automatic CVT,Ice Silver Metallic,Black,None reported,Yes,36791.0,100077
Cadillac,ATS 3.6L Luxury,2013,"89,700 mi.",Gasoline,321.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,Red,None reported,Yes,17999.0,100078
Chevrolet,Silverado 2500 High Country,2022,"18,860 mi.",Diesel,445.0HP 6.6L 8 Cylinder Engine Diesel Fuel,10-Speed A/T,Blue,Gray,None reported,Yes,74500.0,100079
Land,Rover Discovery Sport S R-Dynamic,2022,"23,568 mi.",Gasoline,2.0 Liter,Automatic,Firenze Red,Ebony,None reported,,44998.0,100080
Audi,Q8 55 Premium,2020,"34,300 mi.",Hybrid,335.0HP 3.0L V6 Cylinder Engine Gasoline/Mild Electric Hybrid,8-Speed A/T,Gray,Brown,None reported,Yes,52500.0,100081
Subaru,Impreza WRX,2012,"106,000 mi.",Gasoline,265.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,M/T,Black,Black,None reported,Yes,15000.0,100082
Chevrolet,SSR Base,2005,"122,961 mi.",Gasoline,6.0L V8 16V MPFI OHV,4-Speed Automatic,Redline Red,Ebony,None reported,Yes,20995.0,100083
Mercedes-Benz,GLS 450 Base 4MATIC,2019,"33,481 mi.",Gasoline,3.0L V6 24V GDI DOHC Twin Turbo,9-Speed Automatic,Black,Almond Beige,None reported,,43999.0,100084
Tesla,Model S P100D,2018,"46,000 mi.",,518.0HP Electric Motor Electric Fuel System,A/T,White,Black,None reported,Yes,59500.0,100085
Chevrolet,Camaro 1SS,2022,"7,000 mi.",Gasoline,455.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,Blue,Black,None reported,Yes,50000.0,100086
Hummer,H3 Base,2007,"101,750 mi.",Gasoline,242.0HP 3.7L 5 Cylinder Engine Gasoline Fuel,A/T,White,Black,None reported,Yes,12900.0,100087
Toyota,Land Cruiser Base,2008,"175,000 mi.",Gasoline,381.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,Beige,At least 1 accident or damage reported,Yes,37900.0,100088
Audi,A6 2.0T Sport,2018,"49,650 mi.",Gasoline,252.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,Black,Black,At least 1 accident or damage reported,Yes,23750.0,100089
Mercedes-Benz,S-Class S500,2005,"175,722 mi.",Gasoline,302.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,A/T,White,Beige,None reported,Yes,7000.0,100090
Volkswagen,Passat 2.0T SE,2020,"49,400 mi.",Gasoline,174.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,Brown,None reported,Yes,20900.0,100091
RAM,1500 Big Horn,2021,"41,800 mi.",Diesel,260.0HP 3.0L V6 Cylinder Engine Diesel Fuel,8-Speed A/T,White,Black,None reported,Yes,44900.0,100092
Chevrolet,Corvette Stingray w/1LT,2023,"3,273 mi.",Gasoline,490.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Red,None reported,Yes,78999.0,100093
Jaguar,F-TYPE S British Design Edition,2017,"34,150 mi.",Gasoline,380.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,None reported,Yes,45999.0,100094
Ford,F-150 XLT,2018,"72,393 mi.",Gasoline,325.0HP 2.7L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,Black,Black,None reported,Yes,35000.0,100095
Hyundai,Genesis 3.8,2015,"61,300 mi.",Gasoline,311.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Silver,Gray,,,20150.0,100096
Mercedes-Benz,GL-Class GL 450 4MATIC,2012,"174,000 mi.",Gasoline,335.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,Black,Black,At least 1 accident or damage reported,Yes,11999.0,100097
Mercedes-Benz,GL-Class GL 450 4MATIC,2015,"84,000 mi.",Gasoline,362.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,7-Speed A/T,Blue,Gray,None reported,Yes,20399.0,100098
Lexus,RX 350 Base,2011,"187,450 mi.",Gasoline,275.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Silver,Beige,At least 1 accident or damage reported,Yes,10400.0,100099
Dodge,Ram 1500 ST,2011,"134,000 mi.",Gasoline,390.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,A/T,Black,Gray,At least 1 accident or damage reported,Yes,10500.0,100100
Volkswagen,ID.4 Pro S,2023,"1,716 mi.",,Battery Electric,Automatic,Gray,Gray w/Blue Bolsters,None reported,,39998.0,100101
Mercedes-Benz,GLC 300 GLC 300,2022,"16,983 mi.",Gasoline,2.0 Liter Turbo,Automatic,Black,Black,None reported,,40998.0,100102
INFINITI,QX60 Base,2018,"48,000 mi.",Gasoline,295.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,CVT Transmission,Black,Black,None reported,Yes,27000.0,100103
Cadillac,Escalade Sport,2023,"8,532 mi.",Diesel,3.0L I6 24V DDI DOHC Turbo Diesel,10-Speed Automatic with Overdrive,Black Raven,Jet Black,None reported,,109900.0,100104
Audi,S5 3.0 Premium Plus,2012,"61,450 mi.",Gasoline,333.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,7-Speed A/T,White,Gray,None reported,Yes,19500.0,100105
Chevrolet,Bolt EV LT,2018,"49,279 mi.",,200.0HP Electric Motor Electric Fuel System,1-Speed A/T,Red,Gray,None reported,Yes,17500.0,100106
Lexus,ES 350 Base,2016,"51,335 mi.",Gasoline,268.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Silver,Black,At least 1 accident or damage reported,Yes,25995.0,100107
Mercedes-Benz,R-Class R 350 4MATIC,2008,"120,000 mi.",Gasoline,268.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,7-Speed A/T,Silver,Black,None reported,Yes,8995.0,100108
BMW,230 i,2019,"30,000 mi.",Gasoline,248.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,Blue,Beige,At least 1 accident or damage reported,Yes,29000.0,100109
Chevrolet,Silverado 3500 High Country,2015,"77,500 mi.",Diesel,397.0HP 6.6L 8 Cylinder Engine Diesel Fuel,6-Speed A/T,Black,Brown,None reported,Yes,54000.0,100110
Dodge,Challenger R/T,2010,"100,100 mi.",–,–,Transmission w/Dual Shift Mode,Purple,Black,None reported,Yes,17000.0,100111
Mercedes-Benz,Metris Base,2020,"14,000 mi.",Gasoline,208.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,7-Speed A/T,Black,Beige,None reported,Yes,48000.0,100112
Chevrolet,Express 3500 Base,2008,"144,000 mi.",Gasoline,323.0HP 6.0L 8 Cylinder Engine Gasoline Fuel,A/T,White,Gray,None reported,Yes,22000.0,100113
BMW,Z4 sDrive28i,2014,"15,889 mi.",Gasoline,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,Blue,Beige,None reported,Yes,34500.0,100114
Porsche,Cayman Base,2016,"10,431 mi.",Gasoline,275.0HP 2.7L Flat 6 Cylinder Engine Gasoline Fuel,7-Speed A/T,Red,Black,None reported,Yes,50999.0,100115
Ford,Bronco Outer Banks Advanced,2022,"12,000 mi.",Gasoline,315.0HP 2.7L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,Gray,Brown,At least 1 accident or damage reported,Yes,65999.0,100116
BMW,X6 xDrive40i,2020,"45,076 mi.",Gasoline,3.0 Liter Turbo,Automatic,Blue,Black,None reported,,57998.0,100117
Chevrolet,Camaro 2SS,2018,"42,780 mi.",Gasoline,455.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,At least 1 accident or damage reported,Yes,41100.0,100118
Land,Rover Range Rover Sport HSE,2019,"52,300 mi.",Gasoline,340.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,None reported,Yes,49900.0,100119
BMW,X6 xDrive40i,2023,"16,307 mi.",Hybrid,335.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,A/T,Red,White,None reported,Yes,71400.0,100120
Land,Rover Range Rover Evoque SE Premium,2018,"42,125 mi.",Gasoline,237.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,Black,None reported,Yes,38999.0,100121
Lexus,RX 330 Base,2004,"151,896 mi.",Gasoline,230.0HP 3.3L V6 Cylinder Engine Gasoline Fuel,A/T,Silver,Gray,None reported,Yes,7900.0,100122
Cadillac,Escalade Luxury,2015,"99,897 mi.",Gasoline,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,None reported,Yes,26950.0,100123
Ford,Bronco Big Bend Advanced,2023,"11,500 mi.",Gasoline,315.0HP 2.7L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,Gray,Black,None reported,Yes,54490.0,100124
Audi,S4 Base,2007,"93,000 mi.",Gasoline,340.0HP 4.2L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,Black,Black,At least 1 accident or damage reported,Yes,10995.0,100125
Porsche,Cayenne S,2015,"52,111 mi.",Gasoline,420.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,At least 1 accident or damage reported,Yes,37500.0,100126
Porsche,Macan Base,2018,"82,300 mi.",Gasoline,252.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,7-Speed A/T,Black,Black,None reported,Yes,35000.0,100127
Ferrari,Roma Base,2022,"2,250 mi.",Gasoline,611.0HP 3.9L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Gray,Blue,None reported,Yes,259500.0,100128
Chevrolet,Avalanche 1500 LS,2005,"130,000 mi.",E85 Flex Fuel,295.0HP 5.3L 8 Cylinder Engine Flex Fuel Capability,A/T,Red,Gray,None reported,Yes,7200.0,100129
BMW,535 i xDrive,2014,"119,750 mi.",Gasoline,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,Beige,None reported,Yes,15499.0,100130
Chevrolet,Camaro 1LT,2017,"74,000 mi.",Gasoline,275.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,Yellow,Black,None reported,Yes,19800.0,100131
Ford,F-150 Tremor,2023,"5,500 mi.",Gasoline,400.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,Gray,Black,None reported,Yes,70000.0,100132
BMW,M235 i,2015,"81,000 mi.",Gasoline,320.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,6-Speed M/T,White,Red,None reported,Yes,27890.0,100133
Tesla,Model X 75D,2017,"94,100 mi.",,518.0HP Electric Motor Electric Fuel System,A/T,Black,Orange,At least 1 accident or damage reported,Yes,49900.0,100134
Maserati,Grecale Modena,2023,"3,721 mi.",Gasoline,2.0L I4 16V GDI DOHC Turbo,8-Speed Automatic,White,Red,None reported,Yes,69645.0,100135
Genesis,GV80 2.5T,2022,"7,523 mi.",Gasoline,2.5L I4 16V PDI DOHC Turbo,8-Speed Automatic,Black,Black,None reported,,54543.0,100136
Lincoln,MKS EcoBoost,2016,"38,100 mi.",Gasoline,365.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Silver,Beige,None reported,Yes,21000.0,100137
Ford,Ranger Sport SuperCab,2009,"166,200 mi.",Gasoline,207.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,A/T,Blue,Gray,At least 1 accident or damage reported,Yes,6999.0,100138
Chevrolet,Silverado 1500 1LT,2018,"81,000 mi.",E85 Flex Fuel,285.0HP 4.3L V6 Cylinder Engine Flex Fuel Capability,A/T,Red,Gray,None reported,Yes,32000.0,100139
Audi,Q7 Premium Plus,2022,"22,588 mi.",Hybrid,3.0 Liter TFSI,Automatic,Navarra Blue,Saiga Beige,None reported,,52598.0,100140
Audi,SQ5 3.0T Premium,2020,"21,832 mi.",Gasoline,349.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Blue,Black,None reported,Yes,42000.0,100141
Audi,RS 7 4.0T Performance Prestige,2017,"66,250 mi.",Gasoline,605.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Gray,Gray,At least 1 accident or damage reported,Yes,59200.0,100142
Subaru,Impreza Premium,2022,"10,419 mi.",Gasoline,"2L H-4 gasoline direct injection, DOHC, variable valve control,",Variable,Crystal White Pearl,Black,At least 1 accident or damage reported,,24998.0,100143
Subaru,Legacy 2.5 GT spec.B,2008,"94,000 mi.",Gasoline,243.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,Gray,Blue,None reported,Yes,12500.0,100144
